"word","score"
"happy",4
"sad",-3
"awesome",5
"terrible",-4
"good",3
"bad",-2
"love",5
"hate",-4
"excellent",5
"horrible",-4
"amazing",5
"awful",-4
"positive",4
"negative",-3
"joy",4
"misery",-3
"delightful",5
"miserable",-4
"pleasant",4
"unpleasant",-3
"fantastic",5
"disgusting",-4
"great",5
"horrid",-4
"superb",5
"dreadful",-4
"like",3
"dislike",-2
"beautiful",5
"ugly",-4
"best",5
"worst",-4
"wonderful",5
"atrocious",-4
"brilliant",5
"pathetic",-4
"lovely",4
"repulsive",-3
"marvelous",5
"abysmal",-4
"cheerful",5
"dismal",-4
"splendid",5
"grim",-4
"amused",5
"displeased",-4
"jovial",4
"gloomy",-3
"radiant",5
"dreary",-4
"lively",4
"dreary",-3
"thrilled",5
"dejected",-4
"vibrant",3
"dull",-2
"ecstatic",4
"gloomy",-3
"upbeat",5
"downcast",-4
"excited",5
"melancholy",-4
"festive",5
"somber",-4
"euphoric",5
"sorrowful",-4
"jubilant",4
"weepy",-3
"buoyant",5
"dismal",-4
"elated",4
"despondent",-3
"enthusiastic",5
"melancholic",-4
"animated",3
"dreary",-2
"overjoyed",4
"despairing",-3
"buoyant",5
"crestfallen",-4
"hopeful",5
"hopeless",-4
"serene",5
"dejected",-4
"vivacious",5
"dismal",-4
"sanguine",4
"forlorn",-3
"mirthful",5
"woeful",-4
"content",5
"discontent",-4
"radiant",5
"lugubrious",-4
"blissful",5
"mournful",-4
"joyful",4
"woeful",-3
"upbeat",5
"downcast",-4
"ecstatic",5
"dolorous",-4
"exhilarated",5
"melancholic",-4
"radiant",5
"somber",-4
"buoyant",4
"disheartened",-3
"animated",5
"disconsolate",-4
